evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
236,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.5635422745226458,0.48287603765324855,0.5635422745226458,0.35417503128986094,0.8178027559417103,0.35417503128986094,0.10666867323897389,0.512979637395638,0.4598285737917155,0.512979637395638,Web openings are too large; keep a remaining ligament larger than 0.107 in.,,,,,,,,,,,,,,
237,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.5900103897765531,0.8316490490178926,0.5900103897765531,0.4189345292574814,0.6355280336077898,0.4189345292574814,0.07068996810132396,0.5745074793267296,0.18554340351642742,0.5745074793267296,Web openings are too large; keep a remaining ligament larger than 0.071 in.,,,,,,,,,,,,,,
238,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.6464606300991675,0.477537714218885,0.6464606300991675,0.6712119571671552,0.8040563907501442,0.6712119571671552,0.07167886734411018,0.7545598269244709,0.02783624334138024,0.7545598269244709,Web openings are too large; keep a remaining ligament larger than 0.072 in.,,,,,,,,,,,,,,
239,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.3870548740349606,0.3519969424927444,0.3870548740349606,0.8910915948767123,0.3678748980234534,0.8910915948767123,0.1132958267690593,0.2337450918763791,0.17978992382609163,0.2337450918763791,Web openings are too large; keep a remaining ligament larger than 0.113 in.,,,,,,,,,,,,,,
240,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.6891147010022669,0.6207245443064084,0.6891147010022669,0.7481742481838184,0.5722721080951378,0.7481742481838184,0.11206869536817218,0.40069034019258565,0.6510705649957613,0.40069034019258565,Web openings are too large; keep a remaining ligament larger than 0.112 in.,,,,,,,,,,,,,,
241,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.8746292650389548,0.9643602683412466,0.8746292650389548,0.4124127334938189,0.6600656520932249,0.4124127334938189,0.11343597708776233,0.8006329097316688,0.5554939268067859,0.8006329097316688,Web openings are too large; keep a remaining ligament larger than 0.113 in.,,,,,,,,,,,,,,
242,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.5690546306002097,0.8634558632314828,0.5690546306002097,0.5169733408884816,0.527645343984356,0.5169733408884816,0.09940112883240773,0.0029669244863059743,0.6289787091661745,0.0029669244863059743,Web openings are too large; keep a remaining ligament larger than 0.099 in.,,,,,,,,,,,,,,
243,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.9780480364681873,0.5902564514820408,0.9780480364681873,0.45922170568778437,0.3648922153284687,0.45922170568778437,0.07741772631258169,0.41430769002145856,0.29934338274544736,0.41430769002145856,Web openings are too large; keep a remaining ligament larger than 0.077 in.,,,,,,,,,,,,,,
244,True,54.83636439694187,0.0,0.05089973607585912,3.6325046045526412,0.03947588486684796,2.1325046045526412,0.5284239413553842,8.875585092648542e-33,0.009098351615041158,0.0,Load Case 2,5.0,0.622518573307645,0.49935358716995937,0.622518573307645,0.6096629905075746,0.792638718952744,0.6096629905075746,0.07897095014631365,0.20347478251563028,0.5465944566674155,0.20347478251563028,,321.6776295726281,4.0,7.398711570841906,4.0,0.015312439709995058,4.0,0.005963690309578051,655.1953153802285,5.0,3.6325046045526412,5.0,0.03947588486684796,4.25,0.01581814755522576
245,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,invalid,nan,0.8372361711651544,0.8407559334624755,0.8372361711651544,0.9668839609016949,0.6714047842328836,0.9668839609016949,0.10715782750914901,0.2870678232950985,0.8611074559265611,0.2870678232950985,Web openings are too large; keep a remaining ligament larger than 0.107 in.,,,,,,,,,,,,,,
