evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1791,True,528.6845977869791,0.0,0.1195495550819712,5.1333097332219575,0.01025526001255151,3.6333097332219575,0.6593294136008118,0.0,Load Case 2,8.0,0.5043145027388025,0.7568732525027457,0.47137118854399784,1.1898854993785613,1.1760173522809434,1.25,0.14075013881277576,0.0,0.45240306918019957,0.6505267951929676,,86.7889743288568,4.0,27.42283819349925,4.0,0.002593339773168741,4.0,0.0009923359919386636,463.638495179245,8.0,5.1333097332219575,8.0,0.01025526001255151,4.41,0.004811657041822737
1792,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.35,0.35,0.4685886005232837,1.25,1.129822595904325,1.234715335355401,0.17501780833786293,0.1353624642746778,0.27977161457653027,0.5354548185839062,Wall thickness is too large for at least one tube width.,,,,,,,,,,,,,,
1793,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.7302400059577823,0.35,0.35,1.25,1.203445450727177,1.25,0.15208244804233767,0.2457929824220254,0.7326656829422988,0.6323235110009058,Web openings are too large; keep a remaining ligament larger than 0.152 in.,,,,,,,,,,,,,,
1794,False,150.07032216746933,0.0,0.12749359737686847,3.432779434971529,0.011270638893251667,1.932779434971529,0.6222774223053079,0.0003910572458745267,Load Case 2,8.0,0.8256457674037532,0.7399136013202252,0.35,1.1940628953826606,1.23473205490888,1.210697933990794,0.13285127856218398,0.017923591239593417,0.3636686124537955,0.44231438856501193,Durability check failed: width ratio 2.359 exceeds 2.250.,82.36302611513273,4.0,28.89646134022652,4.0,0.0024184356819265465,4.1,0.0009750838539769949,693.3157358593123,8.0,3.432779434971529,8.0,0.011270638893251667,4.76,0.006168474829854401
1795,True,1143.4374214232012,0.0,0.11028115499310753,6.845080476634203,0.016984836037169805,5.345080476634203,0.664660250454202,0.0,Load Case 2,5.0,0.35,0.5952889201672629,0.4948741607076853,1.25,1.242266710611848,1.1516098966148516,0.14697347969924135,0.05555389236718927,0.5808187926007804,0.49408903294120754,,96.63988367874354,4.0,24.627513086747367,4.0,0.002746374010114256,4.0200000000000005,0.0010634538930165069,347.6949625536427,5.0,6.845080476634203,5.0,0.016984836037169805,4.18,0.007217665448120553
1796,False,4.576236379055607,4.0701684651076,0.1004124283701696,1.409776184240439,0.02556589410212346,0.0,0.5070693569722958,0.0,Load Case 2,8.0,0.35,0.5183077497042166,0.35,1.25,1.25,1.2428574851352108,0.15344857654403873,0.30654774536688845,0.5323872765938958,0.6122024789461084,Minimum factor of safety 1.410 is below the target 1.500.,99.48973626011238,4.0,23.9220656267253,4.0,0.002873187502662406,4.0200000000000005,0.0011114020938843977,1688.2112399155753,8.0,1.409776184240439,8.0,0.02556589410212346,4.38,0.011866612499804308
1797,True,772.4775096666166,0.0,0.10572173390676587,5.892732823968047,0.01211931924468678,4.392732823968047,0.6596517775726343,0.0,Load Case 2,8.0,0.4919645052470925,0.724521509867295,0.39155439588516505,1.25,1.25,1.2412110278227388,0.12969165095593846,0.2458625435522996,0.5788179439235721,0.37455096584637637,,91.29071880076157,4.0,26.07055822612436,4.0,0.002520566895987339,4.03,0.0009846565860601418,403.8873085030446,8.0,5.892732823968047,8.0,0.01211931924468678,4.5200000000000005,0.00605409997204015
1798,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.44765724213013786,0.7939642794345104,0.38852946595401155,1.1511715710749775,0.7416747147179964,1.0557481986686268,0.16386611633307266,0.14726333844621092,0.8,0.5145070989807068,Web openings are too large; keep a remaining ligament larger than 0.164 in.,,,,,,,,,,,,,,
1799,True,239.36466843902164,0.0,0.11844795342997881,3.9432043869227744,0.018064050473850554,2.4432043869227744,0.59539179305505,0.0,Load Case 2,8.0,0.5553807879598472,0.5914734498881185,0.3784079173920599,0.8732779480087223,1.244553366391821,0.9782300776414452,0.16342356700591434,0.03607827603923977,0.6095242611552825,0.14858994527883201,,92.69660722199264,4.0,25.675157606365293,4.0,0.003037916656437021,4.0,0.0012412186418057543,603.5700325078308,8.0,3.9432043869227744,8.0,0.018064050473850554,4.58,0.009039723941242639
1800,False,370.159994000218,0.0,0.09832802828072286,4.536267401377169,0.020057994505905428,3.0362674013771693,0.5810457663303569,0.01680080104492516,Load Case 2,8.0,1.0375294595404734,0.5901322688465271,0.35,1.1911263971359658,1.1506101214525408,1.0680069336131377,0.10862241857717897,0.15900670775627748,0.37880010051509194,0.42766350723836594,Durability check failed: width ratio 2.964 exceeds 2.250.,122.6955167596591,4.0,19.39761176980932,4.0,0.003697971911064228,4.19,0.0015235483040705253,524.660428809257,8.0,4.536267401377169,8.0,0.020057994505905428,4.76,0.010435366431446602
