evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
61,True,0.2920237259227481,0.0,0.2920237259227481,67.01806355530704,0.000653302081223679,Load Case 1,4.0,0.940759970033469,1.497201627645301,1.023154275012375,2.0404408902421345,1.3769341257842438,1.9783593973035858,0.1852413674516824,0.16664583036589953,0.38053333204366857,0.2296004074485868,,35.51281361682275,4.0,67.01806355530704,4.0,0.000653302081223679,4.01,0.00023288087018073517,21.87394478692327,2.49,108.80524858153692,2.49,0.00040464124069071943,3.5,0.00019430035699437886
62,True,0.221496760058935,0.0,0.221496760058935,61.23801145119893,0.0008313695811379753,Load Case 1,4.0,0.9482291873903036,1.0708014461097222,1.1526921978653557,1.3073401807010945,1.590956988238955,1.7079816827507865,0.15773578345673267,0.1493069240206274,0.3515923978928034,0.24900572603196694,,38.864749909402946,4.0,61.23801145119893,4.0,0.0008313695811379753,3.86,0.00034000469882038603,34.71400582042581,2.49,68.56022356830977,2.49,0.0008247208509779717,3.45,0.0003896326630511922
63,True,0.13686115241721028,0.0,0.13686115241721028,39.18698673139086,0.0012096385090023811,Load Case 1,4.0,1.0637076711419038,1.0554168235802173,0.7897592842972576,1.679757732221737,1.5624670344353073,1.7891128913763585,0.09025828501649293,0.03868179294602108,0.3200793261018857,0.2831948499461369,,60.73444779803632,4.0,39.18698673139086,4.0,0.0012081620136366112,4.01,0.0004481391086428189,45.03476219844946,2.49,52.848064113502595,2.49,0.0012096385090023811,3.72,0.0005161994424654343
64,True,0.13278610475928904,0.0,0.13278610475928904,19.373361503774387,0.002708588675326237,Load Case 1,4.0,0.8271107792641312,0.8766394297473522,1.543832922564207,2.152986894057044,0.968530457680338,1.4361450744332223,0.10711913460397354,0.3599399960440642,0.3912303973882143,0.5115770174795811,,122.8490987243654,4.0,19.373361503774387,4.0,0.002708588675326237,4.07,0.0009325528304921643,62.37189501841111,2.49,38.158212112963135,2.49,0.0018576077378258267,3.56,0.0007913328813761143
65,True,0.2311627143782499,0.0,0.2311627143782499,42.57672859967915,0.0019292264161677914,Load Case 1,4.0,0.8589659713390366,1.2557461253065414,1.5302707186471762,1.0215266139635775,1.0517722677374608,0.9357379452345311,0.18758752528277278,0.34761264778557094,0.022394477587722558,0.5963734768729838,,55.899080983359895,4.0,42.57672859967915,4.0,0.0019292264161677914,3.95,0.0007587836592425039,33.38603563861366,2.49,71.28728986460844,2.49,0.0007918128256913767,3.2800000000000002,0.0004049960043496552
66,True,0.2903119571287289,0.0,0.2903119571287289,103.25207787569659,0.0004082756446799195,Load Case 1,4.0,1.455357215019423,1.4990678269453759,1.1995149611549962,1.1749958845135986,2.0087878722157106,1.5000052526837275,0.1811702315035462,0.25737755848128296,0.5134465306410425,0.1929346972587513,,23.05038357547866,4.0,103.25207787569659,4.0,0.0004082756446799195,3.91,0.0001765762669273828,19.69106709409807,2.49,120.86698951492316,2.49,0.0002921569320328111,3.6,0.00013402311725285439
67,True,0.16030873571387536,0.0,0.16030873571387536,47.8594647043902,0.0008210267747424415,Load Case 1,4.0,1.3034884668962439,1.5502336668307597,1.4387143929206454,1.1684435253467873,1.730319212346026,1.9231718619704443,0.09402081993549136,0.2006480510225464,0.5685584897151542,0.1509625733459821,,49.72893062428423,4.0,47.8594647043902,4.0,0.0008210267747424415,3.77,0.00035662203929437343,34.93431845727558,2.49,68.12784977931437,2.49,0.0004973690409241444,3.43,0.0002398234740160445
68,False,inf,inf,inf,0.0,inf,invalid,nan,1.1351472534971676,0.9033991754818835,1.4920320951236477,1.9757731640035494,1.8909596808928035,0.846366822548879,0.19551224468598338,0.11866887017233003,0.41079740834423706,0.5497616342090007,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
69,True,0.2245070529207256,0.0,0.2245070529207256,72.97447813358589,0.000876943535831128,Load Case 1,4.0,1.5839265138184824,0.8337171746531461,1.143847832238734,1.662524874182025,1.9721100426030234,1.2506893012278977,0.14412661709397917,0.520199856181076,0.0544026130760811,0.4261406537349789,,32.614142106548684,4.0,72.97447813358589,4.0,0.000631621724343139,4.18,0.00026870484478038435,28.13418920118725,2.49,84.59458287497282,2.49,0.000876943535831128,3.92,0.00032410229648654364
70,True,0.19025110443666843,0.0,0.19025110443666843,22.399247221011965,0.002433819820999365,Load Case 1,4.0,1.3269737886006043,1.3146712765118465,1.0796581681764423,1.838175460402838,0.7784021745199893,2.176869723355145,0.12734079710216462,0.303117420961584,0.1064088288682295,0.4926867398710358,,106.25357077926279,4.0,22.399247221011965,4.0,0.002433819820999365,3.96,0.0007919239079746248,30.208732238659138,2.49,78.78516652725443,2.49,0.0007526307216148861,3.74,0.0003054202682633005
