rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
872,print_safe_contiguous_closed_tube_seed2502,920,0.08504732,0.08504732,4.08655963,0.03490194,1.55359501,6.08771716,0.08921892,0.00000000,0.24689572,0.38971523,0.04740217
873,print_safe_contiguous_closed_tube_seed2502,317,0.08518353,0.08518353,4.73339707,0.02682711,1.61059337,6.30146769,0.08657412,0.00000000,0.24163864,0.38501887,0.06839851
874,print_safe_contiguous_closed_tube_seed2502,732,0.08525606,0.08525606,5.08502764,0.02858575,1.15330038,4.27898505,0.08966272,0.00000000,0.21284223,0.45958008,0.05392999
875,print_safe_contiguous_closed_tube_seed2502,1461,0.08527679,0.08527679,3.23074846,0.05625908,1.42560430,5.21019660,0.08999930,0.00000000,0.28291240,0.41630588,0.07070146
876,print_safe_contiguous_closed_tube_seed2502,1406,0.08528703,0.08528703,1.50679122,0.15984704,1.08668813,4.18167649,0.10194047,0.00000000,0.33567256,0.49878320,0.06263487
877,print_safe_contiguous_closed_tube_seed2502,614,0.08530092,0.08530092,4.64600111,0.03339289,1.21014393,4.61743741,0.08325802,0.00000000,0.22118117,0.43629462,0.08442364
878,print_safe_contiguous_closed_tube_seed2502,872,0.08533178,0.08533178,4.88061502,0.03271150,1.26606844,5.50711513,0.09963384,0.00000000,0.19266081,0.46474014,0.06257908
879,print_safe_contiguous_closed_tube_seed2502,992,0.08535253,0.08535253,1.91986344,0.10745148,1.09881490,4.40821630,0.10894057,0.00000000,0.18021030,0.48932937,0.10083321
880,print_safe_contiguous_closed_tube_seed2502,75,0.08538255,0.08538255,6.58580197,0.01940985,1.33900573,5.44069782,0.07873631,0.00000000,0.18116855,0.35756627,0.09752596
881,print_safe_contiguous_closed_tube_seed2502,264,0.08540798,0.08540798,3.11021752,0.05278949,1.31530283,5.23657264,0.10551354,0.00000000,0.15410697,0.50109338,0.11212404
882,print_safe_contiguous_closed_tube_seed2502,782,0.08541040,0.08541040,1.74532160,0.12699993,1.23281249,4.97297478,0.10512216,0.00000000,0.19606516,0.44809531,0.08685902
883,print_safe_contiguous_closed_tube_seed2502,981,0.08547148,0.08547148,4.90214874,0.03510586,1.59004117,6.55187896,0.08334848,0.00000000,0.31259736,0.34794128,0.05389356
884,print_safe_contiguous_closed_tube_seed2502,325,0.08547156,0.08547156,3.21905474,0.04469754,1.77608000,6.90810323,0.08911083,0.00000000,0.16658635,0.37648855,0.11844421
885,print_safe_contiguous_closed_tube_seed2502,321,0.08551877,0.08551877,5.01591234,0.02689253,1.51928362,5.46914678,0.08246482,0.00000000,0.28967168,0.38912308,0.06288852
886,print_safe_contiguous_closed_tube_seed2502,933,0.08562733,0.08562733,2.38153544,0.09633784,0.99623666,3.54431845,0.09135727,0.00000000,0.36179092,0.46051314,0.05551315
887,print_safe_contiguous_closed_tube_seed2502,695,0.08566553,0.08566553,3.90427763,0.03602263,1.78967851,6.75899056,0.10111834,0.00000000,0.16788187,0.46108760,0.08201747
888,print_safe_contiguous_closed_tube_seed2502,833,0.08577040,0.08577040,3.26635539,0.06817141,0.77589730,3.39839064,0.10674834,0.00000000,0.21182971,0.58972165,0.06325027
889,print_safe_contiguous_closed_tube_seed2502,63,0.08578158,0.08578158,6.12740052,0.01957653,1.67513162,6.12030339,0.08604905,0.00000000,0.15662919,0.39913283,0.07733828
890,print_safe_contiguous_closed_tube_seed2502,878,0.08580937,0.08580937,3.01226752,0.06480797,1.18992031,4.71168026,0.09420522,0.00000000,0.18361584,0.50964056,0.10143409
891,print_safe_contiguous_closed_tube_seed2502,444,0.08584006,0.08584006,4.82733979,0.03411440,1.34998997,3.78946063,0.10479946,0.00000000,0.20066315,0.51051230,0.07820908
892,print_safe_contiguous_closed_tube_seed2502,994,0.08588851,0.08588851,3.62519825,0.05434173,0.80548318,3.01348910,0.09249193,0.00000000,0.22204202,0.54073712,0.09059011
893,print_safe_contiguous_closed_tube_seed2502,1374,0.08589516,0.08589516,2.72376796,0.06950013,1.06061078,4.19158189,0.10433506,0.00000000,0.21600328,0.55345375,0.07738464
