rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
1116,continuous_uniform_both_load_cases_9in_corrected,25,18.92585957,0.22805531,25.43098650,0.00433939,6.04467355,23.15759797,0.16790157,0.00000000,0.21001708,0.58100071,0.04723565
1117,continuous_uniform_both_load_cases_9in_corrected,291,18.99786111,0.27510835,21.78927288,0.00370504,7.74982724,26.96822513,0.19125110,0.00000000,0.27905850,0.56425970,0.12780295
1118,continuous_uniform_both_load_cases_9in_corrected,198,19.07931500,0.23358384,23.78674566,0.00301721,6.99919305,25.21164769,0.12521793,0.00000000,0.50673736,0.33375249,0.11880313
1119,continuous_uniform_both_load_cases_9in_corrected,289,21.74667793,0.27688743,29.48652768,0.00232458,6.64400471,25.59045861,0.14282181,0.00000000,0.61703639,0.39115247,0.05783297
1120,continuous_uniform_both_load_cases_9in_corrected,169,21.78659408,0.40086246,26.89735893,0.00313639,7.48195566,28.22113464,0.19790275,0.00000000,0.65394131,0.48579270,0.10704308
1121,continuous_uniform_both_load_cases_9in_corrected,336,22.89822892,0.27723535,29.54197934,0.00218295,7.76655148,29.50578656,0.16279873,0.00000000,0.41779428,0.44872322,0.04780856
1122,continuous_uniform_both_load_cases_9in_corrected,256,23.84561396,0.27776424,32.02165563,0.00194595,7.47217244,29.84177971,0.14009217,0.00000000,0.60296502,0.36635519,0.01459358
1123,continuous_uniform_both_load_cases_9in_corrected,326,25.73068210,0.32956540,34.54654586,0.00189779,7.88762935,31.12420892,0.18218590,0.00000000,0.52197372,0.48840439,0.02993163
1124,continuous_uniform_both_load_cases_9in_corrected,32,26.44493173,0.39398207,34.54332278,0.00206575,8.34568946,33.54296923,0.19416714,0.00000000,0.60031628,0.47647277,0.09614097
1125,continuous_uniform_both_load_cases_9in_corrected,66,26.51460763,0.31869102,33.97846736,0.00184182,8.99913640,33.99593028,0.19299267,0.00000000,0.29794053,0.54036925,0.07434222
1126,continuous_uniform_both_load_cases_9in_corrected,129,26.95404903,0.28552416,36.49158244,0.00158358,8.31489430,31.34983357,0.15758510,0.00000000,0.44293443,0.42402040,0.08904210
1127,continuous_uniform_both_load_cases_9in_corrected,154,29.30249025,0.39665889,37.97888651,0.00172035,9.47503515,37.38580438,0.19828648,0.00000000,0.60677506,0.46186676,0.05223885
1128,continuous_uniform_both_load_cases_9in_corrected,202,29.46209255,0.31006784,38.28611102,0.00168141,9.82742055,28.50162451,0.15690838,0.00000000,0.61141090,0.36983391,0.10843403
1129,continuous_uniform_both_load_cases_9in_corrected,218,35.47690391,0.34377047,45.22403739,0.00136462,12.23871166,32.51593511,0.18694833,0.00000000,0.48002815,0.42174148,0.13828741
1130,continuous_uniform_both_load_cases_9in_corrected,252,35.72594075,0.37860137,48.06044778,0.00113402,10.93040416,43.39073443,0.19109858,0.00000000,0.42171405,0.45364162,0.09220460
1131,continuous_uniform_both_load_cases_9in_corrected,345,38.27946428,0.38406036,51.44858677,0.00103774,11.76809928,42.68154621,0.19441374,0.00000000,0.48690750,0.44230622,0.05729537
1132,continuous_uniform_both_load_cases_9in_corrected,328,39.22472180,0.33932436,51.91079225,0.00096622,12.66125526,40.12897207,0.15644816,0.00000000,0.57688761,0.33482991,0.10882120
